"professor";"aula";"aluno";"media"
"WELLINGTON SILVA DE SOUZA";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"a1dc8d33f283c91ae47a7fe7d49d34a6 ";"0.3 "
"WELLINGTON SILVA DE SOUZA";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"9fe6433f39109d1e42a84b9ac780c4fc ";"2.1 "
"SILVIO COSTA SAMPAIO";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"fd0c76b59b7ee42c4443c044c4c00575 ";"0.5 "
"SILVIO COSTA SAMPAIO";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"dee9b933efd2e10c6707a994619cce6e ";"6.8 "
"SILVIO COSTA SAMPAIO";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"ea18bf31bb8dfce225f59c05f81a41e3 ";"4.0 "
"SILVIO COSTA SAMPAIO";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"f9050ce6ad26787023581e2cc346e703 ";"4.1 "
"SILVIO COSTA SAMPAIO";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"1b9b693e971190f27a6bf032978f0564 ";"3.4 "
"SILVIO COSTA SAMPAIO";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"6d8728e65df1192fbf5ec6cf4a4ed14a ";"6.4 "
"SILVIO COSTA SAMPAIO";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"441c4c95c9c539566f732021fed78bed ";"5.9 "
"SILVIO COSTA SAMPAIO";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"8ca3409114db642aaeaebe4c0c0d4443 ";"2.7 "
"SILVIO COSTA SAMPAIO";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"d70406d352a26b0b92c6ba7fae7acd8f ";"0.7 "
"SILVIO COSTA SAMPAIO";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"2f93083a73aa7f76cc844e37b0950dc0 ";"1.2 "
"SILVIO COSTA SAMPAIO";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"3560cc362c6c185ef1e6dfccbd036210 ";"6.7 "
"SILVIO COSTA SAMPAIO";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"6b0ae8718676e253c4ca61cc35f4a1e4 ";"0.0 "
"SILVIO COSTA SAMPAIO";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"6979f555ed7b878d55f9cd3fa4e5c032 ";"2.7 "
"SILVIO COSTA SAMPAIO";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"69b640cae50edc4b348f31f601e2bd3f ";"0.7 "
"SILVIO COSTA SAMPAIO";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"3af6082fa102d1e32ac5f061bddbb98c ";"5.8 "
"SILVIO COSTA SAMPAIO";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"fd0c76b59b7ee42c4443c044c4c00575 ";"0.5 "
"SILVIO COSTA SAMPAIO";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"dee9b933efd2e10c6707a994619cce6e ";"6.8 "
"SILVIO COSTA SAMPAIO";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"ea18bf31bb8dfce225f59c05f81a41e3 ";"4.0 "
"SILVIO COSTA SAMPAIO";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"f9050ce6ad26787023581e2cc346e703 ";"4.1 "
"SILVIO COSTA SAMPAIO";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"1b9b693e971190f27a6bf032978f0564 ";"3.4 "
"SILVIO COSTA SAMPAIO";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"6d8728e65df1192fbf5ec6cf4a4ed14a ";"6.4 "
"SILVIO COSTA SAMPAIO";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"441c4c95c9c539566f732021fed78bed ";"5.9 "
"SILVIO COSTA SAMPAIO";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"8ca3409114db642aaeaebe4c0c0d4443 ";"2.7 "
"SILVIO COSTA SAMPAIO";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"d70406d352a26b0b92c6ba7fae7acd8f ";"0.7 "
"SILVIO COSTA SAMPAIO";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"2f93083a73aa7f76cc844e37b0950dc0 ";"1.2 "
"SILVIO COSTA SAMPAIO";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"3560cc362c6c185ef1e6dfccbd036210 ";"6.7 "
"SILVIO COSTA SAMPAIO";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"6b0ae8718676e253c4ca61cc35f4a1e4 ";"0.0 "
"SILVIO COSTA SAMPAIO";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"6979f555ed7b878d55f9cd3fa4e5c032 ";"2.7 "
"SILVIO COSTA SAMPAIO";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"69b640cae50edc4b348f31f601e2bd3f ";"0.7 "
"SILVIO COSTA SAMPAIO";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"3af6082fa102d1e32ac5f061bddbb98c ";"5.8 "
"SILVIO COSTA SAMPAIO";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"58a1da20075595f170d80d8851414330 ";"7.9 "
"SILVIO COSTA SAMPAIO";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"35a41fdcd22b22af9e0ac8a565a8246a ";"3.5 "
"SILVIO COSTA SAMPAIO";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"32842476f665afc36f990ca721ed55d7 ";"5.3 "
